candidate_id	registry_id	recovery_page_id	recovery_url_id	raw_term_short	evidence_locator	candidate_type	normalized_key	relation_to_existing_m4b1_evidence	status	m6_validation_required	reason
M4B1R2C000001	REG011	M4B1R2P00001	M4B1R2U00001	Альтернатива классическим сервисам аналитики Wildberries	https://ilai.io/alternativa-servisam-analitiki-wildberries ; observed title/heading/visible text	TASK_PHRASE	seller_analytics	Maps to existing M2R/M3 family evidence or remains an M6-checkable wording variant	ALREADY_PRESENT	false	Observed competitor wording with recovery-page provenance; candidate evidence only and never promoted to demand
M4B1R2C000002	REG011	M4B1R2P00001	M4B1R2U00001	L27: SEO, реклама, финансыединая платформа	https://ilai.io/alternativa-servisam-analitiki-wildberries ; observed title/heading/visible text	TASK_PHRASE	reporting_finance	Maps to existing M2R/M3 family evidence or remains an M6-checkable wording variant	ALREADY_PRESENT	false	Observed competitor wording with recovery-page provenance; candidate evidence only and never promoted to demand
M4B1R2C000003	REG011	M4B1R2P00001	M4B1R2U00001	Альтернатива сервисам аналитики Wildberries — AI, SEO и реклама | ILAI	https://ilai.io/alternativa-servisam-analitiki-wildberries ; observed title/heading/visible text	TASK_PHRASE	ad_analytics_or_automation	Competitor boundary evidence; not current Octoport launch scope	OUT_OF_SCOPE	true	Observed competitor wording with recovery-page provenance; candidate evidence only and never promoted to demand
M4B1R2C000004	REG011	M4B1R2P00001	M4B1R2U00001	AI-анализ карточек24/7	https://ilai.io/alternativa-servisam-analitiki-wildberries ; observed title/heading/visible text	TASK_PHRASE	product_card_or_content	Competitor boundary evidence; not current Octoport launch scope	OUT_OF_SCOPE	true	Observed competitor wording with recovery-page provenance; candidate evidence only and never promoted to demand
M4B1R2C000005	REG011	M4B1R2P00001	M4B1R2U00001	Альтернатива сервисам аналитики Wildberries — AI, SEO и реклама | ILAI	https://ilai.io/alternativa-servisam-analitiki-wildberries ; observed title/heading/visible text	TASK_PHRASE	search_or_niche_analytics	Maps to existing M2R/M3 family evidence or remains an M6-checkable wording variant	ALREADY_PRESENT	false	Observed competitor wording with recovery-page provenance; candidate evidence only and never promoted to demand
M4B1R2C000006	REG011	M4B1R2P00001	M4B1R2U00001	Подключаем AI-инструменты	https://ilai.io/alternativa-servisam-analitiki-wildberries ; observed title/heading/visible text	TASK_PHRASE	integration_connection	Maps to existing M2R/M3 family evidence or remains an M6-checkable wording variant	ALREADY_PRESENT	false	Observed competitor wording with recovery-page provenance; candidate evidence only and never promoted to demand
M4B1R2C000007	REG011	M4B1R2P00001	M4B1R2U00001	L49: Продажи, карточки, реклама, финансы и отзывы не живут отдельно. ILAI связывает эти блоки, чтобы решения были точнее.	https://ilai.io/alternativa-servisam-analitiki-wildberries ; observed title/heading/visible text	TASK_PHRASE	reviews_support	Maps to existing M2R/M3 family evidence or remains an M6-checkable wording variant	ALREADY_PRESENT	false	Observed competitor wording with recovery-page provenance; candidate evidence only and never promoted to demand
M4B1R2C000008	REG011	M4B1R2P00001	M4B1R2U00001	Почему одной аналитики продаж уже недостаточно	https://ilai.io/alternativa-servisam-analitiki-wildberries ; observed title/heading/visible text	TASK_PHRASE	inventory_supply	Maps to existing M2R/M3 family evidence or remains an M6-checkable wording variant	ALREADY_PRESENT	false	Observed competitor wording with recovery-page provenance; candidate evidence only and never promoted to demand
M4B1R2C000009	REG011	M4B1R2P00001	M4B1R2U00001	Тарифы L7:	https://ilai.io/alternativa-servisam-analitiki-wildberries ; observed title/heading/visible text	TASK_PHRASE	pricing_repricing	Maps to existing M2R/M3 family evidence or remains an M6-checkable wording variant	ALREADY_PRESENT	false	Observed competitor wording with recovery-page provenance; candidate evidence only and never promoted to demand
M4B1R2C000010	REG011	M4B1R2P00001	M4B1R2U00001	Кому подойдёт ILAI как сервис для продавцов Wildberries	https://ilai.io/alternativa-servisam-analitiki-wildberries ; observed title/heading/visible text	TASK_PHRASE	seller_procedural_help	Maps to existing M2R/M3 family evidence or remains an M6-checkable wording variant	ALREADY_PRESENT	false	Observed competitor wording with recovery-page provenance; candidate evidence only and never promoted to demand
M4B1R2C000011	REG011	M4B1R2P00001	M4B1R2U00001	AI в рабочем процессе	https://ilai.io/alternativa-servisam-analitiki-wildberries ; observed title/heading/visible text	TASK_PHRASE	ai_or_digital_helper	Maps to existing M2R/M3 family evidence or remains an M6-checkable wording variant	ALREADY_PRESENT	false	Observed competitor wording with recovery-page provenance; candidate evidence only and never promoted to demand
M4B1R2C000012	REG011	M4B1R2P00002	M4B1R2U00002	Аналитика Wildberries — сервис для продавцов WB с AI | ILAI	https://ilai.io/analitika-wildberries ; observed title/heading/visible text	TASK_PHRASE	seller_analytics	Maps to existing M2R/M3 family evidence or remains an M6-checkable wording variant	ALREADY_PRESENT	false	Observed competitor wording with recovery-page provenance; candidate evidence only and never promoted to demand
M4B1R2C000013	REG011	M4B1R2P00002	M4B1R2U00002	Аналитика WB: продажи, реклама, SEO и финансы	https://ilai.io/analitika-wildberries ; observed title/heading/visible text	TASK_PHRASE	reporting_finance	Maps to existing M2R/M3 family evidence or remains an M6-checkable wording variant	ALREADY_PRESENT	false	Observed competitor wording with recovery-page provenance; candidate evidence only and never promoted to demand
M4B1R2C000014	REG011	M4B1R2P00002	M4B1R2U00002	Аналитика WB: продажи, реклама, SEO и финансы	https://ilai.io/analitika-wildberries ; observed title/heading/visible text	TASK_PHRASE	ad_analytics_or_automation	Maps to existing M2R/M3 family evidence or remains an M6-checkable wording variant	ALREADY_PRESENT	false	Observed competitor wording with recovery-page provenance; candidate evidence only and never promoted to demand
M4B1R2C000015	REG011	M4B1R2P00002	M4B1R2U00002	L27: AI-рекомендация: обновите SEO-описания, добавьте ключевые фразы и проверьте рекламные ставки по товарам с низкой маржой.	https://ilai.io/analitika-wildberries ; observed title/heading/visible text	TASK_PHRASE	product_card_or_content	Maps to existing M2R/M3 family evidence or remains an M6-checkable wording variant	ALREADY_PRESENT	false	Observed competitor wording with recovery-page provenance; candidate evidence only and never promoted to demand
M4B1R2C000016	REG011	M4B1R2P00002	M4B1R2U00002	Аналитика WB: продажи, реклама, SEO и финансы	https://ilai.io/analitika-wildberries ; observed title/heading/visible text	TASK_PHRASE	search_or_niche_analytics	Maps to existing M2R/M3 family evidence or remains an M6-checkable wording variant	ALREADY_PRESENT	false	Observed competitor wording with recovery-page provenance; candidate evidence only and never promoted to demand
M4B1R2C000017	REG011	M4B1R2P00002	M4B1R2U00002	L34: Выручка растёт, а реальная маржа падает из-за рекламы, логистики и комиссий.	https://ilai.io/analitika-wildberries ; observed title/heading/visible text	TASK_PHRASE	inventory_supply	Maps to existing M2R/M3 family evidence or remains an M6-checkable wording variant	ALREADY_PRESENT	false	Observed competitor wording with recovery-page provenance; candidate evidence only and never promoted to demand
M4B1R2C000018	REG011	M4B1R2P00002	M4B1R2U00002	Тарифы L7:	https://ilai.io/analitika-wildberries ; observed title/heading/visible text	TASK_PHRASE	pricing_repricing	Maps to existing M2R/M3 family evidence or remains an M6-checkable wording variant	ALREADY_PRESENT	false	Observed competitor wording with recovery-page provenance; candidate evidence only and never promoted to demand
M4B1R2C000019	REG011	M4B1R2P00002	M4B1R2U00002	Аналитика Wildberries с AI-помощником	https://ilai.io/analitika-wildberries ; observed title/heading/visible text	TASK_PHRASE	seller_procedural_help	Maps to existing M2R/M3 family evidence or remains an M6-checkable wording variant	ALREADY_PRESENT	false	Observed competitor wording with recovery-page provenance; candidate evidence only and never promoted to demand
M4B1R2C000020	REG011	M4B1R2P00002	M4B1R2U00002	Аналитика Wildberries — сервис для продавцов WB с AI | ILAI	https://ilai.io/analitika-wildberries ; observed title/heading/visible text	TASK_PHRASE	ai_or_digital_helper	Maps to existing M2R/M3 family evidence or remains an M6-checkable wording variant	ALREADY_PRESENT	false	Observed competitor wording with recovery-page provenance; candidate evidence only and never promoted to demand
