candidate_id	registry_id	page_id	raw_term_short	evidence_locator	candidate_type	normalized_key	relation_to_existing_octoport_evidence	status	m6_validation_required	reason
M4B1C00001	REG001	M4B1P0001	подключение ИИ и сервисов к маркетплейсу	https://www.ai007.io/ ; public capture 2026-09-18 ; title/headings/visible text	TASK_PHRASE	integration_connection	Maps to existing M2R/M3 family evidence	ALREADY_PRESENT	false	Observed as competitor page topic/claim; candidate evidence only, never promoted to demand
M4B1C00002	REG001	M4B1P0001	аналитика и автоматизация рекламы	https://www.ai007.io/ ; public capture 2026-09-18 ; title/headings/visible text	TASK_PHRASE	ad_analytics_or_automation	Competitor write/automation boundary outside Octoport current launch	OUT_OF_SCOPE	true	Observed as competitor page topic/claim; candidate evidence only, never promoted to demand
M4B1C00003	REG002	M4B1P0002	работа с карточкой и контентом товара	https://aimarketcap.ru/guides/nejroseti-dlya-marketplejsov/ ; public capture 2026-09-18 ; title/headings/visible text	TASK_PHRASE	product_card_or_content	Adjacent competitor vocabulary; not demand authority	POSSIBLE_VARIANT	true	Observed as competitor page topic/claim; candidate evidence only, never promoted to demand
M4B1C00004	REG003	M4B1P0003	подключение ИИ и сервисов к маркетплейсу	https://ainsider.ru/blog/ii-v-prodazhah/ii-agent-dlya-ozon-kak-avtomatizirovat-prodazhi-na-marketpleyse ; public capture 2026-09-18 ; title/headings/visible text	TASK_PHRASE	integration_connection	Maps to existing M2R/M3 family evidence	ALREADY_PRESENT	false	Observed as competitor page topic/claim; candidate evidence only, never promoted to demand
M4B1C00005	REG003	M4B1P0003	ИИ-помощник продавца	https://ainsider.ru/blog/ii-v-prodazhah/ii-agent-dlya-ozon-kak-avtomatizirovat-prodazhi-na-marketpleyse ; public capture 2026-09-18 ; title/headings/visible text	TASK_PHRASE	ai_or_digital_helper	Maps to existing M2R/M3 family evidence	ALREADY_PRESENT	false	Observed as competitor page topic/claim; candidate evidence only, never promoted to demand
M4B1C00006	REG004	M4B1P0004	подключение ИИ и сервисов к маркетплейсу	https://albato.ru/integration-openai-ozon ; public capture 2026-09-18 ; title/headings/visible text	TASK_PHRASE	integration_connection	Maps to existing M2R/M3 family evidence	ALREADY_PRESENT	false	Observed as competitor page topic/claim; candidate evidence only, never promoted to demand
M4B1C00007	REG006	M4B1P0005	подключение ИИ и сервисов к маркетплейсу	https://apimonster.ru/connector/bundle/callparser/ozon/ ; public capture 2026-09-18 ; title/headings/visible text	TASK_PHRASE	integration_connection	Maps to existing M2R/M3 family evidence	ALREADY_PRESENT	false	Observed as competitor page topic/claim; candidate evidence only, never promoted to demand
M4B1C00008	REG006	M4B1P0005	работа с отзывами и вопросами	https://apimonster.ru/connector/bundle/callparser/ozon/ ; public capture 2026-09-18 ; title/headings/visible text	TASK_PHRASE	reviews_support	Adjacent competitor vocabulary; not demand authority	POSSIBLE_VARIANT	true	Observed as competitor page topic/claim; candidate evidence only, never promoted to demand
M4B1C00009	REG006	M4B1P0006	подключение ИИ и сервисов к маркетплейсу	https://apimonster.ru/connector/bundle/openai/ozon/ ; public capture 2026-09-18 ; title/headings/visible text	TASK_PHRASE	integration_connection	Maps to existing M2R/M3 family evidence	ALREADY_PRESENT	false	Observed as competitor page topic/claim; candidate evidence only, never promoted to demand
M4B1C00010	REG006	M4B1P0006	работа с отзывами и вопросами	https://apimonster.ru/connector/bundle/openai/ozon/ ; public capture 2026-09-18 ; title/headings/visible text	TASK_PHRASE	reviews_support	Adjacent competitor vocabulary; not demand authority	POSSIBLE_VARIANT	true	Observed as competitor page topic/claim; candidate evidence only, never promoted to demand
M4B1C00011	REG006	M4B1P0007	подключение ИИ и сервисов к маркетплейсу	https://apimonster.ru/connector/bundle/openai/wildberries/ ; public capture 2026-09-18 ; title/headings/visible text	TASK_PHRASE	integration_connection	Maps to existing M2R/M3 family evidence	ALREADY_PRESENT	false	Observed as competitor page topic/claim; candidate evidence only, never promoted to demand
M4B1C00012	REG006	M4B1P0007	работа с отзывами и вопросами	https://apimonster.ru/connector/bundle/openai/wildberries/ ; public capture 2026-09-18 ; title/headings/visible text	TASK_PHRASE	reviews_support	Adjacent competitor vocabulary; not demand authority	POSSIBLE_VARIANT	true	Observed as competitor page topic/claim; candidate evidence only, never promoted to demand
