family_id,family_name,prior_state,reconciled_state,direct_evidence_count,seed_evidence_count,representative_phrases,main_contaminations,capability_boundary,unresolved_decisions,more_wordstat_needed,serp_needed,competitor_needed,alice_needed,rationale
F1,Existing AI-agent / AI-assistant category,SUFFICIENT,STRONG_FOR_SERP,12,7,ии агенты для маркетплейсов | ии агенты маркетплейсы отчеты | ии агент для озон | ии агент для wildberries | ии ассистент для маркетплейсов,GENERIC_ENTITY_ASSOCIATION,"Octoport is bridge, not proprietary AI.",Existing S01-S03 cover category; no new decision.,NO,NO,NO,NO,"12 direct occurrences plus 7 tested-seed occurrences; state measures readiness for representative SERP, not page merit."
F2,Connect user's own AI / LLM to marketplace data/tools,GAP,PARTIAL_BUT_SERP_CAN_RESOLVE,1,4,chatgpt для маркетплейсов,,User-selected supported AI; technical connection phrasing remains emergent.,Natural SERP language for own-LLM connection.,NO,YES,YES,YES,"1 direct occurrences plus 4 tested-seed occurrences; state measures readiness for representative SERP, not page merit."
F3,Seller-cabinet analytics / reports,MATERIAL_GAP,STRONG_FOR_SERP,241,17,аналитик маркетплейсов | аналитика маркетплейсов | отчеты маркетплейсов | аналитика маркетплейсов бесплатная | бесплатные аналитики маркетплейсов,SERVICE_BRAND_NAVIGATION | GENERIC_ENTITY_ASSOCIATION | ACCOUNTING_TAX_STATUTORY | HUMAN_PROFESSION_OR_TRAINING,Seller-owned readable reports/data only.,SERP page types and internal-vs-external analytics intent.,NO,YES,YES,NO,"241 direct occurrences plus 17 tested-seed occurrences; state measures readiness for representative SERP, not page merit."
F4,Daily seller work / helper,WEAK,SUFFICIENT_FOR_SERP,8,3,помощник селлера | ии для работы с маркетплейсами | нейросеть для работы с маркетплейсами | помощник селлера вакансии | ии для работы с маркетплейсами обучение,HUMAN_PROFESSION_OR_TRAINING | HUMAN_ASSISTANT_OR_HIRING,Read/explain/prepare; no mutation.,Human helper vs software/helper intent.,NO,YES,NO,YES,"8 direct occurrences plus 3 tested-seed occurrences; state measures readiness for representative SERP, not page merit."
F5,Operational product-card help,WRONG_SHAPE,PARTIAL_BUT_SERP_CAN_RESOLVE,70,0,нейросеть для карточек маркетплейса | ии для карточек маркетплейсов | нейросеть для создания карточек для маркетплейсов | ии для создания карточек для маркетплейсов | карточка для маркетплейса нейросеть бесплатно,PURE_CARD_GENERATOR | AI_CREATIVE_GENERATION,Operational analysis only; no launch write-back; creative generation excluded.,Operational card help vs creative generators.,NO,YES,NO,NO,"70 direct occurrences plus 0 tested-seed occurrences; state measures readiness for representative SERP, not page merit."
F6,Advertising analysis / help,ABSENT,SUFFICIENT_FOR_SERP,3,4,реклама маркетплейса аналитика | дрр ozon,,Analysis/diagnostics; no continuous bid automation.,Analysis service vs autobidder boundary.,NO,YES,YES,NO,"3 direct occurrences plus 4 tested-seed occurrences; state measures readiness for representative SERP, not page merit."
F7,"Marketplace / search / niche analytics, source/capability bounded",WEAK,SUFFICIENT_FOR_SERP,8,2,wildberries поисковый запрос | аналитика ниш маркетплейсов | аналитика спроса на маркетплейсах | аналитика конкурентов на маркетплейсах | анализ ниш wildberries,GENERIC_ENTITY_ASSOCIATION,WB search API and Ozon search analytics confirmed; WB full niche API and external intelligence unproven.,Search analytics vs full niche/competitor intelligence.,NO,YES,YES,NO,"8 direct occurrences plus 2 tested-seed occurrences; state measures readiness for representative SERP, not page merit."
F8,Procedural knowledge / cabinet help,ABSENT,PARTIAL_BUT_SERP_CAN_RESOLVE,1,3,должностная инструкция специалиста аналитика по маркетплейсу,GENERIC_ENTITY_ASSOCIATION | BUYER_NAVIGATION | HUMAN_PROFESSION_OR_TRAINING,Help-center knowledge is separate from Seller API.,Procedural help intent and source expectations.,NO,YES,NO,YES,"1 direct occurrences plus 3 tested-seed occurrences; state measures readiness for representative SERP, not page merit."
F9,Comparison / discovery of AI/tools,MODERATE,STRONG_FOR_SERP,4,1,какой ии для маркетплейсов | лучшие нейросети для маркетплейсов | топ нейросетей для маркетплейсов,,"Comparison entrance, not proof of product equivalence.",Mixed comparison set composition.,NO,YES,YES,NO,"4 direct occurrences plus 1 tested-seed occurrences; state measures readiness for representative SERP, not page merit."
F10,Broad-noise controls,STRONG,STRONG_FOR_SERP,89,8,нейросеть для маркетплейсов | ии для маркетплейсов | для создания маркетплейсов нейросеть | бесплатная нейросеть для маркетплейсов | ии для озона,GENERIC_ENTITY_ASSOCIATION | AI_CREATIVE_GENERATION | BUYER_NAVIGATION | HUMAN_PROFESSION_OR_TRAINING,"Control evidence, not acquisition demand.",No further acquisition needed.,NO,NO,NO,NO,"89 direct occurrences plus 8 tested-seed occurrences; state measures readiness for representative SERP, not page merit."
